member_id,full_name,age,membership_type,months_as_member,avg_weekly_attendance,avg_points_per_session,attendance_trend,points_trend,days_since_last_visit,churn
64,Grace Thomas,37,Premium,18,2.17,64.71,stable,decreasing,52,1
65,Ethan Robinson,19,Unlimited,21,3.38,64.64,increasing,increasing,0,0
66,Logan Jones,56,Unlimited,2,3.2,66.33,stable,decreasing,59,0
67,Lily Lopez,23,Premium,15,3.37,65.91,stable,stable,42,1
68,Zoey Perez,34,Basic,28,2.0,73.65,stable,decreasing,27,0
69,Mateo Williams,42,Basic,18,3.8,71.18,stable,decreasing,56,1
70,Liam Williams,45,Unlimited,34,4.34,72.51,stable,increasing,2,0
71,Victoria Anderson,19,Unlimited,22,3.34,92.83,increasing,increasing,50,1
72,Sophia Williams,52,Premium,11,1.69,71.15,increasing,decreasing,17,1
73,Liam Jones,54,Basic,13,1.7,100.0,decreasing,increasing,51,1
74,Sebastian Thompson,22,Basic,4,2.12,75.29,stable,decreasing,59,0
75,Sophia Miller,18,Basic,22,1.94,63.29,stable,decreasing,33,0
76,Mateo Rodriguez,57,Premium,7,2.43,90.24,decreasing,decreasing,31,0
77,Isabella Anderson,29,Premium,24,3.13,68.81,stable,increasing,28,0
78,Sebastian Martinez,53,Unlimited,4,2.79,34.09,decreasing,stable,24,1
79,Ava Jackson,40,Premium,28,2.7,69.94,stable,stable,59,1
80,Ella Miller,48,Basic,15,2.26,66.26,increasing,increasing,25,0
81,Ella Brown,28,Premium,1,2.43,94.1,decreasing,decreasing,38,1
82,Theodore Jones,27,Premium,3,3.3,56.54,stable,decreasing,7,1
83,Ethan Miller,20,Premium,14,0.49,65.01,decreasing,stable,18,1
84,Isabella Hernandez,31,Premium,1,2.49,89.01,increasing,decreasing,53,0
85,Owen Brown,33,Unlimited,21,2.79,75.92,stable,increasing,46,0
86,Ava Miller,27,Unlimited,29,3.28,67.43,decreasing,stable,41,0
87,Michael Ramirez,46,Basic,5,1.49,58.65,increasing,decreasing,21,0
88,Noah Martinez,27,Basic,10,1.44,75.28,decreasing,decreasing,28,1
89,William Ramirez,29,Premium,28,3.08,69.56,stable,stable,32,1
90,Jack Lopez,47,Basic,21,0.6,58.48,stable,decreasing,37,1
91,Abigail Robinson,58,Basic,7,3.83,59.26,stable,stable,44,0
92,Emma Sanchez,18,Basic,3,2.73,57.78,decreasing,increasing,45,0
93,Jack Harris,22,Premium,20,4.06,55.11,increasing,increasing,34,1
94,Scarlett Robinson,37,Basic,19,1.41,84.01,increasing,decreasing,42,1
95,Grace Smith,25,Premium,35,2.06,81.99,decreasing,increasing,2,0
96,Mateo Robinson,29,Unlimited,4,0.09,84.04,decreasing,stable,18,1
97,Ava Rodriguez,18,Basic,5,1.7,70.07,increasing,stable,9,0
98,Oliver Miller,37,Basic,1,2.32,66.36,stable,decreasing,26,0
99,William Davis,45,Basic,4,0.54,66.63,stable,stable,14,1
100,Mateo Rodriguez,54,Unlimited,12,2.11,85.32,stable,increasing,10,0
101,Victoria Smith,54,Basic,27,0.51,42.7,increasing,increasing,46,1
102,Logan Anderson,29,Basic,23,2.24,62.28,stable,stable,25,0
103,Ella White,54,Basic,25,3.65,56.69,increasing,decreasing,58,0
104,Olivia Robinson,45,Premium,21,2.47,90.4,decreasing,stable,23,0
105,Scarlett Johnson,32,Premium,24,4.16,62.84,decreasing,decreasing,12,0
106,Oliver Taylor,23,Premium,25,3.29,45.46,stable,increasing,31,0
107,Victoria Taylor,37,Unlimited,32,3.85,73.35,increasing,decreasing,36,0
108,Amelia Clark,31,Basic,32,1.74,64.45,increasing,stable,3,0
109,Noah Johnson,19,Unlimited,5,1.71,61.65,stable,increasing,12,0
110,Jack Perez,26,Basic,16,2.85,60.1,decreasing,stable,8,0
111,Ethan Jones,54,Unlimited,33,0.92,59.51,stable,decreasing,56,1
112,Ella Smith,37,Premium,21,2.97,80.63,stable,decreasing,48,1
113,Liam Jackson,43,Unlimited,9,2.18,73.36,stable,increasing,33,0
114,Noah Lee,46,Basic,6,3.83,67.03,stable,decreasing,55,0
115,Sebastian Garcia,18,Basic,35,3.18,53.53,increasing,increasing,36,0
116,Ella Thompson,52,Basic,22,3.6,67.47,increasing,increasing,47,1
117,Elijah Thompson,23,Basic,5,1.75,73.91,increasing,stable,6,0
118,Emma White,54,Basic,23,3.55,74.48,stable,stable,0,0
119,Amelia Garcia,22,Basic,17,3.94,72.41,decreasing,decreasing,59,1
120,Logan Jones,50,Basic,12,2.46,56.16,decreasing,stable,57,1
121,Chloe Garcia,31,Premium,23,1.76,33.95,increasing,increasing,11,0
122,Michael Hernandez,29,Unlimited,16,1.78,96.99,increasing,stable,20,0
123,Mia Smith,59,Premium,3,3.74,50.36,increasing,increasing,10,0
124,Henry Ramirez,37,Basic,30,5.18,40.53,stable,increasing,43,0
125,William Thomas,41,Premium,22,1.52,71.96,stable,stable,50,1
126,Owen Williams,51,Basic,9,1.44,44.37,stable,stable,57,1
127,Abigail Ramirez,42,Unlimited,29,3.42,57.93,increasing,increasing,43,1
128,Hannah Jackson,46,Basic,23,1.75,78.23,increasing,stable,43,0
129,Sebastian Williams,56,Premium,13,3.52,96.59,increasing,increasing,13,0
130,Evelyn Martin,48,Unlimited,32,2.97,75.81,increasing,increasing,33,0
131,Ella Miller,40,Unlimited,23,2.48,63.41,decreasing,stable,33,1
132,Grace Davis,55,Premium,17,2.94,69.23,increasing,increasing,24,0
133,Scarlett Moore,37,Unlimited,21,2.88,42.87,stable,stable,3,0
134,Zoey Smith,40,Unlimited,2,2.32,63.24,stable,increasing,51,0
135,Emma Ramirez,33,Premium,6,0.74,63.25,decreasing,stable,54,1
136,Jackson Moore,59,Premium,18,2.68,72.3,decreasing,increasing,25,0
137,Ethan Robinson,25,Premium,30,4.07,99.13,decreasing,increasing,15,0
138,Lily Miller,38,Premium,22,0.89,40.95,increasing,stable,9,1
139,Mia Sanchez,18,Premium,33,1.53,63.88,stable,decreasing,44,1
140,Noah Smith,25,Premium,30,2.93,42.5,decreasing,increasing,1,1
141,Olivia Jones,46,Basic,17,2.54,62.45,increasing,stable,34,0
142,Victoria Clark,49,Basic,32,2.91,57.03,stable,decreasing,18,0
143,Henry Rodriguez,55,Basic,14,1.8,47.58,decreasing,stable,5,0
144,Lily Jackson,22,Basic,10,3.66,83.7,stable,decreasing,18,0
145,Mia Williams,39,Basic,34,2.55,73.83,increasing,increasing,58,1
146,Abigail White,51,Premium,9,3.2,81.94,increasing,decreasing,52,0
147,Grace White,18,Basic,28,2.82,62.03,stable,stable,51,0
148,Emma Taylor,43,Unlimited,11,2.68,68.94,increasing,stable,50,0
149,Lucas Brown,27,Basic,14,3.13,93.92,stable,decreasing,7,0
150,Aria Davis,47,Basic,19,2.69,69.96,decreasing,stable,13,0
151,Abigail Robinson,35,Premium,15,1.31,82.12,increasing,stable,9,0
152,Lily Thomas,34,Premium,28,3.59,60.74,decreasing,decreasing,2,0
153,Jackson Williams,43,Basic,24,3.32,80.74,stable,stable,37,0
154,Jackson Lewis,25,Unlimited,8,0.39,61.77,increasing,increasing,28,1
155,Harper Wilson,57,Unlimited,9,1.85,41.55,decreasing,stable,14,0
156,Harper Johnson,29,Basic,33,3.54,69.89,decreasing,increasing,22,0
157,Lily Thomas,44,Basic,33,0.67,62.95,stable,decreasing,22,0
158,Hannah Smith,25,Unlimited,19,3.44,45.63,decreasing,decreasing,17,1
159,Elijah Smith,42,Premium,3,2.36,72.87,decreasing,stable,45,1
160,Sophia Lee,21,Premium,10,3.84,56.6,decreasing,stable,18,0
161,Abigail White,50,Unlimited,1,2.5,100.0,stable,increasing,27,0
162,Lucas Miller,18,Basic,29,1.78,48.03,decreasing,increasing,25,0
163,Oliver Taylor,36,Premium,34,2.81,51.81,decreasing,decreasing,9,1
164,Grace Thomas,48,Basic,13,2.47,83.04,decreasing,increasing,46,0
165,Olivia Clark,33,Premium,1,1.69,68.0,increasing,stable,3,0
166,Michael Thompson,31,Premium,34,4.72,82.74,stable,decreasing,54,0
167,Michael Wilson,22,Premium,29,1.53,75.71,stable,decreasing,1,0
168,Theodore Garcia,58,Basic,13,0.26,61.27,increasing,stable,2,0
169,Aria Gonzalez,43,Basic,29,4.08,49.31,decreasing,stable,6,1
170,Lucas Clark,45,Premium,24,1.92,86.07,increasing,stable,54,0
171,Mateo Johnson,19,Premium,26,2.2,50.67,increasing,decreasing,15,0
172,Daniel Robinson,23,Premium,17,2.14,78.38,decreasing,stable,30,0
173,Grace Ramirez,26,Basic,7,1.93,83.78,stable,stable,9,0
174,Grace Jones,50,Unlimited,13,1.73,68.1,increasing,increasing,18,0
175,Evelyn Brown,58,Basic,5,1.5,65.44,stable,increasing,27,0
176,Lily Taylor,42,Unlimited,26,2.56,55.24,stable,stable,16,0
177,Amelia Lopez,30,Basic,3,2.1,76.94,increasing,decreasing,27,1
178,Jack Robinson,26,Premium,7,3.23,24.31,decreasing,decreasing,18,0
179,Owen Wilson,30,Basic,1,2.98,80.74,stable,decreasing,36,0
180,William Williams,48,Unlimited,17,1.57,71.79,stable,stable,22,0
181,Victoria White,58,Premium,25,2.61,66.66,stable,decreasing,19,0
182,Owen Taylor,28,Basic,3,2.08,73.63,stable,decreasing,12,0
183,Charlotte Williams,21,Basic,15,1.51,49.4,increasing,stable,12,0
184,Grace Martin,51,Basic,29,3.19,33.81,increasing,stable,42,0
185,Daniel Thompson,55,Basic,32,2.38,77.03,stable,stable,10,0
186,Grace Williams,21,Unlimited,26,2.09,89.75,decreasing,decreasing,47,1
187,Harper Harris,55,Premium,16,1.64,43.91,increasing,increasing,14,0
188,Charlotte Perez,36,Premium,25,1.47,54.21,stable,decreasing,16,0
189,Oliver Davis,23,Premium,28,4.49,81.28,decreasing,increasing,53,0
190,Logan Moore,51,Premium,9,2.83,75.38,increasing,decreasing,49,1
191,Ella Anderson,35,Basic,1,1.41,100.0,increasing,stable,27,0
192,Michael Thompson,30,Basic,29,2.79,86.13,stable,decreasing,18,0
193,Noah Clark,58,Premium,22,3.56,82.53,stable,stable,3,0
194,Noah Sanchez,40,Unlimited,16,2.67,58.54,increasing,decreasing,21,0
195,Amelia Davis,36,Basic,7,3.87,77.87,stable,stable,21,0
196,Grace Rodriguez,28,Basic,14,0.96,92.43,stable,increasing,54,1
197,Scarlett Lewis,18,Premium,29,0.51,67.53,stable,stable,36,1
198,Sebastian Williams,41,Unlimited,19,2.76,68.24,increasing,increasing,38,1
199,Jackson White,24,Basic,19,2.78,72.12,stable,increasing,33,0
200,Ava Ramirez,42,Premium,2,0.0,60.03,decreasing,stable,32,1
201,Benjamin Harris,38,Unlimited,15,1.88,74.03,decreasing,decreasing,43,1
202,Hannah Gonzalez,32,Basic,3,1.49,73.66,decreasing,stable,41,1
203,Abigail Smith,18,Basic,11,1.11,92.2,stable,stable,39,0
204,Lucas Wilson,29,Premium,30,1.49,67.16,stable,stable,32,1
205,Mia Wilson,24,Unlimited,18,3.1,80.12,stable,increasing,11,0
206,Olivia Jackson,32,Basic,2,1.48,67.61,increasing,decreasing,1,0
207,Ethan Anderson,38,Premium,32,1.52,79.6,increasing,stable,58,1
208,Jack Johnson,36,Premium,8,0.88,66.25,stable,decreasing,27,1
209,Noah Thompson,46,Premium,22,3.77,78.6,increasing,increasing,9,0
210,Michael Jackson,42,Premium,6,2.93,80.92,increasing,increasing,21,0
211,Jackson Sanchez,50,Premium,12,0.01,54.0,decreasing,decreasing,16,0
212,Michael Sanchez,49,Premium,15,1.52,86.54,increasing,stable,25,0
213,Michael Taylor,52,Premium,28,3.03,67.5,increasing,increasing,2,0
214,William Anderson,55,Premium,18,3.78,62.95,increasing,increasing,6,0
215,Victoria Smith,43,Premium,2,3.34,59.35,stable,decreasing,43,0
216,Lucas Lee,28,Unlimited,13,2.14,74.47,stable,stable,7,0
217,James Miller,52,Basic,15,0.57,69.93,stable,stable,19,0
218,Elijah Garcia,25,Unlimited,20,3.37,75.56,stable,stable,11,0
219,Ella Martin,31,Unlimited,29,2.2,75.85,decreasing,stable,34,0
220,Theodore Anderson,27,Basic,29,2.57,79.13,decreasing,decreasing,16,0
221,Lily Thompson,19,Premium,3,2.32,100.0,decreasing,increasing,27,0
222,Zoey Martin,26,Premium,19,1.14,70.6,decreasing,stable,40,1
223,Mia Gonzalez,20,Basic,3,2.86,58.98,stable,decreasing,9,0
224,Theodore Jackson,38,Basic,14,2.73,39.7,increasing,increasing,21,1
225,Amelia White,43,Basic,4,2.07,52.07,increasing,stable,37,1
226,Evelyn Ramirez,25,Basic,11,2.97,88.53,increasing,stable,56,0
227,Sebastian Jones,19,Unlimited,31,1.13,80.8,stable,stable,32,0
228,Sebastian Lee,23,Basic,32,2.23,49.75,decreasing,stable,21,1
229,Ethan Rodriguez,45,Unlimited,27,2.53,100.0,stable,stable,43,1
230,Olivia Lee,46,Premium,30,0.77,74.9,increasing,stable,36,1
231,Liam Sanchez,43,Unlimited,2,2.44,76.9,stable,stable,12,0
232,Liam Anderson,42,Premium,9,3.23,100.0,decreasing,stable,26,0
233,Chloe Robinson,29,Basic,28,2.2,96.09,stable,increasing,14,0
234,Jackson Davis,22,Premium,31,2.47,81.72,decreasing,stable,21,1
235,Liam Thomas,51,Basic,34,3.06,82.44,decreasing,decreasing,29,0
236,Scarlett Jones,54,Premium,15,2.11,83.84,decreasing,stable,42,1
237,Michael Lewis,32,Unlimited,25,2.2,66.39,decreasing,decreasing,39,0
238,Oliver Lopez,53,Basic,8,1.32,74.3,decreasing,stable,36,1
239,Sebastian Thomas,32,Basic,9,2.49,78.61,increasing,decreasing,33,1
240,Victoria Perez,40,Premium,32,2.17,68.1,increasing,decreasing,43,0
241,Owen Wilson,23,Unlimited,17,3.0,55.52,stable,increasing,59,1
242,Jack Jones,38,Premium,35,3.06,66.01,increasing,stable,33,0
243,Theodore Wilson,40,Basic,19,3.29,55.18,decreasing,stable,57,0
244,James Lopez,33,Premium,29,1.99,70.97,increasing,stable,47,0
245,Mia Sanchez,32,Basic,7,0.32,43.29,decreasing,increasing,52,1
246,Sebastian Thomas,42,Premium,28,3.24,75.12,stable,decreasing,34,1
247,Daniel Miller,53,Unlimited,9,2.93,45.53,stable,increasing,41,1
248,Hannah Smith,28,Premium,28,1.86,63.95,decreasing,stable,18,0
249,Theodore Jones,32,Unlimited,6,3.05,77.56,stable,stable,7,0
250,Ethan Sanchez,21,Basic,29,1.05,81.87,stable,increasing,38,0
251,Alexander Perez,38,Premium,17,3.53,80.09,increasing,decreasing,32,0
252,James Brown,30,Unlimited,16,2.17,74.8,stable,decreasing,43,0
253,Chloe Martin,39,Basic,23,1.67,53.21,increasing,stable,27,0
254,Charlotte Martinez,36,Unlimited,31,1.88,84.71,stable,stable,36,0
255,Evelyn Sanchez,51,Basic,3,2.27,53.55,stable,increasing,47,1
256,Ella Smith,31,Premium,21,2.49,86.42,decreasing,decreasing,24,0
257,James Gonzalez,21,Unlimited,26,2.55,79.42,decreasing,increasing,35,1
258,Elijah Thomas,44,Premium,22,2.07,90.38,stable,stable,16,0
259,Logan Thomas,46,Basic,12,2.7,70.37,stable,decreasing,23,0
260,Noah Taylor,45,Premium,13,2.51,57.72,decreasing,increasing,20,1
261,Jack Clark,52,Premium,11,1.85,50.61,stable,decreasing,1,0
262,Abigail White,25,Unlimited,16,1.7,52.28,stable,increasing,30,0
263,Olivia Moore,33,Premium,8,3.11,45.45,stable,decreasing,43,1
264,Lily Ramirez,59,Basic,2,3.02,84.13,decreasing,increasing,32,1
265,Grace Smith,53,Premium,30,2.56,86.01,stable,stable,29,0
266,Victoria Lopez,47,Premium,30,3.42,78.31,stable,increasing,11,0
267,Oliver Smith,35,Premium,12,0.54,69.5,stable,decreasing,43,1
268,Grace Davis,19,Premium,10,1.94,100.0,stable,stable,11,0
269,Alexander Hernandez,30,Unlimited,11,1.34,68.53,increasing,increasing,50,1
270,Owen Gonzalez,21,Premium,15,4.76,73.31,stable,stable,56,0
271,Olivia Wilson,43,Premium,16,3.21,69.28,decreasing,stable,48,1
272,Noah Lewis,42,Basic,17,2.42,64.93,decreasing,stable,51,0
273,Lily Thompson,47,Basic,26,3.28,79.46,stable,decreasing,23,1
274,Amelia Sanchez,28,Basic,2,3.62,60.5,stable,stable,23,0
275,Lucas Lewis,24,Basic,12,3.61,59.49,increasing,increasing,57,1
276,Sebastian Martinez,48,Premium,26,3.42,80.22,decreasing,increasing,59,1
277,Sebastian Robinson,27,Premium,23,2.24,62.54,decreasing,stable,10,0
278,Chloe Jackson,56,Premium,18,2.0,72.0,increasing,stable,12,0
279,Benjamin Brown,30,Unlimited,32,1.54,64.88,increasing,stable,26,0
280,Emma Lewis,48,Unlimited,3,3.0,69.83,decreasing,increasing,7,0
281,Hannah Harris,24,Unlimited,3,2.34,59.9,stable,stable,9,0
282,Daniel Lewis,59,Premium,30,2.08,60.39,stable,decreasing,7,0
283,Hannah Martinez,59,Premium,1,2.03,57.7,increasing,increasing,19,0
284,Victoria Rodriguez,53,Premium,30,3.95,82.65,increasing,stable,7,0
285,Logan Williams,37,Basic,32,3.45,72.58,stable,decreasing,8,0
286,Lily Thomas,21,Basic,28,4.33,83.78,decreasing,decreasing,6,0
287,Hannah Moore,24,Unlimited,21,3.03,85.38,stable,stable,13,0
288,Scarlett White,18,Unlimited,13,2.56,63.1,stable,stable,27,0
289,Ethan Robinson,59,Basic,27,2.47,83.22,increasing,decreasing,1,0
290,Ella Jones,30,Premium,7,1.48,69.79,stable,increasing,56,1
291,Olivia Taylor,39,Unlimited,22,1.24,67.62,increasing,stable,42,1
292,Ava Thompson,38,Basic,10,3.01,88.79,stable,increasing,7,0
293,Jackson Williams,39,Basic,15,1.57,78.31,decreasing,stable,12,0
294,Theodore Taylor,45,Unlimited,15,2.71,64.71,increasing,stable,20,0
295,Abigail Thomas,26,Premium,4,3.62,77.33,increasing,decreasing,46,1
296,Jackson Perez,43,Basic,32,1.83,51.01,increasing,increasing,27,0
297,Ava Clark,26,Premium,23,4.51,73.71,stable,stable,34,0
298,Evelyn Taylor,32,Unlimited,6,1.51,47.51,decreasing,stable,22,1
299,Hannah Lopez,27,Premium,24,3.49,55.23,increasing,stable,45,0
300,Evelyn Lopez,41,Basic,20,2.92,78.77,decreasing,decreasing,14,0
301,Henry Miller,59,Basic,20,3.69,29.95,increasing,stable,1,0
302,Jack Wilson,25,Premium,12,1.38,97.04,decreasing,decreasing,50,1
303,Charlotte Martin,41,Premium,33,4.81,82.52,stable,stable,11,0
304,Evelyn Sanchez,33,Premium,28,2.32,42.42,stable,stable,56,1
305,Mia Lee,43,Basic,8,3.18,100.0,stable,decreasing,51,1
306,James Williams,44,Unlimited,1,3.94,100.0,stable,increasing,35,1
307,Olivia Harris,54,Basic,22,1.9,67.29,decreasing,increasing,2,0
308,Daniel Brown,21,Basic,6,3.33,56.1,decreasing,decreasing,4,0
309,Ethan Thomas,41,Basic,21,1.73,95.29,stable,stable,2,0
310,Scarlett Gonzalez,36,Basic,32,3.9,64.84,increasing,decreasing,56,1
311,Scarlett Wilson,53,Premium,35,1.74,72.42,increasing,decreasing,46,0
312,Charlotte Sanchez,56,Premium,15,2.54,88.26,decreasing,stable,18,1
313,James Williams,27,Basic,5,2.81,67.7,stable,stable,1,0
314,Ethan Lewis,42,Premium,6,3.28,66.38,stable,stable,43,1
315,Emma Moore,35,Basic,25,4.47,50.91,stable,stable,36,0
316,Olivia Rodriguez,36,Premium,29,2.05,60.54,decreasing,decreasing,53,1
317,Alexander Sanchez,53,Unlimited,7,3.64,66.09,stable,decreasing,16,0
318,Amelia Lewis,27,Basic,13,4.47,51.42,decreasing,stable,13,0
319,Aria Miller,50,Premium,18,2.67,52.78,decreasing,increasing,27,0
320,Ava Davis,22,Basic,2,1.95,70.5,stable,stable,26,0
321,Henry Moore,52,Basic,8,0.77,42.25,increasing,increasing,53,1
322,Mateo Sanchez,51,Basic,11,4.38,56.81,decreasing,decreasing,9,0
323,Noah Jones,50,Premium,33,2.26,99.17,stable,increasing,2,0
324,Owen Jones,38,Premium,27,1.5,64.82,decreasing,decreasing,35,1
325,Aria Jackson,34,Basic,20,1.14,62.94,increasing,stable,37,1
326,Lucas Thomas,39,Unlimited,12,1.5,64.75,increasing,decreasing,55,1
327,Liam Perez,54,Premium,31,3.42,64.99,decreasing,stable,24,0
328,Amelia Miller,32,Unlimited,27,3.56,78.62,stable,stable,21,0
329,Jackson Gonzalez,52,Premium,32,3.15,77.57,stable,stable,47,1
330,Elijah Brown,45,Premium,10,2.63,64.14,decreasing,decreasing,38,1
331,William Ramirez,24,Basic,3,1.25,66.79,stable,stable,46,1
332,Charlotte Jackson,49,Basic,27,1.77,89.69,stable,stable,29,0
333,Scarlett Clark,28,Unlimited,35,1.39,47.35,increasing,stable,20,0
334,Alexander Sanchez,27,Basic,31,3.07,69.14,decreasing,increasing,29,0
335,Evelyn Miller,26,Unlimited,15,1.44,72.03,decreasing,stable,27,1
336,Oliver Gonzalez,31,Premium,16,1.79,58.35,increasing,decreasing,30,1
337,Ava Moore,30,Basic,13,2.32,68.27,decreasing,increasing,56,1
338,Jack Robinson,42,Basic,35,0.83,56.32,decreasing,stable,51,1
339,Abigail Ramirez,19,Basic,11,2.55,79.56,stable,stable,25,0
340,Lucas Lewis,52,Unlimited,21,2.39,49.93,stable,stable,42,0
341,Scarlett Smith,24,Premium,11,3.68,85.94,stable,increasing,21,0
342,Oliver Gonzalez,38,Basic,30,1.68,68.9,increasing,stable,20,0
343,Jack Robinson,35,Basic,35,1.2,63.28,decreasing,increasing,0,1
344,Jackson White,20,Basic,22,2.13,54.93,decreasing,increasing,36,0
345,Grace Garcia,59,Premium,31,1.4,85.46,stable,decreasing,12,0
346,William Sanchez,56,Basic,14,2.54,60.22,stable,stable,20,0
347,Ella Gonzalez,58,Unlimited,24,0.64,52.49,increasing,decreasing,45,0
348,Daniel Thomas,28,Basic,32,1.89,85.77,increasing,increasing,8,0
349,Daniel Hernandez,56,Basic,32,1.57,56.44,stable,stable,16,0
350,Victoria Brown,41,Premium,15,3.07,68.58,increasing,increasing,46,0
351,Lily Jackson,36,Premium,35,1.69,82.28,stable,stable,20,0
352,Abigail Harris,21,Unlimited,3,0.76,72.37,stable,decreasing,30,0
353,Harper Anderson,43,Premium,16,2.3,95.96,decreasing,decreasing,38,1
354,Sophia Anderson,55,Basic,5,2.82,57.48,stable,increasing,58,1
355,Charlotte Smith,59,Premium,21,2.23,66.84,stable,stable,53,0
356,Oliver Thomas,49,Basic,10,1.89,68.0,stable,stable,21,0
357,Ethan Harris,56,Basic,19,1.83,79.32,increasing,increasing,11,0
358,Emma Lopez,53,Unlimited,25,2.61,89.33,increasing,increasing,54,1
359,Alexander Thomas,57,Premium,4,1.61,71.1,increasing,decreasing,5,1
360,Lucas Garcia,54,Unlimited,29,2.17,67.94,decreasing,decreasing,52,1
